"Name","Id","Mark","La","Tut","Genr","DropF","DropL","Data"
"Bazovyj kurs podgotovki k OGE po matematike",85,5,"ru","Zubaha","M",                     0,1,"62939;45587;41686;35388;!37789;33948;32319;32006;27144;!23187;24083;24031;22411;21910;21697;20297;!19342;18676;18287;18451;18196;15360;15674;!16784;16246;16369;16286;14798;15596;15044;!14297;14057;14092;14133;14118;14101;13831;!13415;13125;13266;12822;12110;12158;12238;!10330;10808;10701;9731;10478;8005;!9533;9366;9394;8220;8520;8251;6883;!9088;8287;7814;7901;7530;6969;7810;7763;7571;6957;7397;7313;6843;6487;!8341;8770;8451;7430;6987;6690;6885;!7468;7069;6643;6983;6827;6592;!6682;6260;5801;6072;5955;5296;!6267;5939;5406;5814;5683;5069;!5658;5549;5719;5618;5547;5505;5503;5477;5343;5302;5319;4914;5064;5186;!5571;5304;5575;5159;5483;5087;4917;!5437;!4689;4246;4371;4369;4346;3985;3789;!4282;4013;3844;!4272;4201;4186;4184;4116;4134;4071;3853;3777;3662;3944;3691;!5367;4024;4904;4564;4846;!4433;4172;4356;4229;!4085;3923;3829;3744;3908;3626;!4074;3443;3709;3791;3760;3748;!3520;3499;3515;3621;3295;!3521;3469;3464;3445;3391;3422;3391;3375;3402;3454;3364;3460;3292;3238;!4168;4292;4174;3925;3931;3847;3788;3778;3728;!3532;3360;3347;3108;3061;!3256;3205;2882;2772;2559;2427;2528;2467;!2475;2397;2492;2449;2277;2345;2361;2316;!3065;2848;2913;2839;2749;2759;2568;2506;!2752;2665;2534;2389;2326;2217;2394;2167;!2947;2648;2765;2674;2607;2572;!2403;2329;2220;2099;2115;2063;2107;1948;2171;2114;2040;2096;2201;2131;!4068;4004;3150;3601;3490;3435;3282;3115;!3352;3075;3216;3095;3058;2862;2902;!3033;2925;2877;2770;2794;2644;2897;!2857;2792;2787;2769;2661;2622;2596;2652;!2909;2763;2572;2701;2587;2427;!2645;2410;2381;2502;2447;2241;2107;2273;!2252;2103;2155;2096;2176;2178;2142;!2043;2120;1945;2019;1998;1998;!2139;2166;2163;2169;2077;2055;2063;1849;2035;2025;2056;2060;1991;1937;1891;!2425;2329;2107;2162;2147;1935;2095;!2200;2166;2132;2056;2124;1871;1990;!1912;2002;1984;1999;1948;1910;1974;1927;!1954;1917;1891;1952;1932;1910;1911;!1927;1931;1770;1895;1904;1876;1686;1814;!1869;1885;1877;1818;!1998;1927;1934;1971;1932;1935;1621;1897;1888;1811;1896;1896;1825;1835;1891;!2575;2476;2392;2321;2317;2305;2155;!2133;2134;2053;2015;2071;!1890;1918;1841;1817;1786;!1666;1536;1666;1672;1686;1621;1646;!1720;1700;1553;!1581;1631;1471;1599;1257;1594;1556;1599;1265;1245;1274;1517;1379;1437;1211;!910;853;!"

"Matematicheskij analiz (chast' 1)",716,4.9,"ru","Hrabrov","M",                            0,0,"!3986;2808;!2522;3019;2256;2275;1858;2111;!2017;1994;1856;1716;1819;1613;1792;!1640;1677;1619;1614;1402;1528;1404;1536;1471;1257;!1089;1359;1305;1343;1275;1223;1175;975;!1324;1020;1035;999;!1171;1129;1085;848;!1009;906;888;1020;691;774;665;818;!789;706;647;647;!715;653;619;716;619;657;!690;680;608;655;480;622;573;477;488;609;450;!643;627;625;411;!720;627;546;439;!610;640;!595;574;523;548;480;471;510;477;491;!519;427;345;341;437;414;419;355;247;300;!"

"Matematicheskij analiz (chast' 2)",711,4.9,"ru","Hrabrov","M",                            0,0,"!603;607;438;416;460;343;334;271;380;!357;354;240;290;295;!360;347;300;!375;334;350;322;347;290;258;238;!316;264;234;271;192;261;215;!287;254;254;236;204;179;220;218;223;133;!226;231;227;213;!171;129;143;!308;323;!350;312;280;285;272;271;258;!97;!305;225;206;222;213;!210;200;223;190;131;240;224;208;186;213;!197;172;151;110;114;!189;175;153;131;147;!150;166;147;148;155;135;125;!128;113;90;81;117;132;111;!"

"Vvedenie v diskretnuyu matematiku",902,4.1,"ru","Meleshko","M",                            0,0,"!3625;3713;3321;3040;1547;1921;1788;!1476;1040;862;878;855;890;!988;847;884;826;617;!880;817;726;789;713;741;!716;646;685;670;!591;540;!632;763;616;!404;352;506;!394;424;!618;455;476;454;478;!565;556;501;516;!464;447;438;!!"

"Osnovy olimpiadnogo programmirovaniya",51144,5,"ru","GOAOU","P",                        0,0,"252;192;130;!93;!35;!42;!31;!18;!46;36;37;25;21;27;17;!32;30;29;!24;!24;!21;20;21;21;17;!44;!28;22;15;23;10;!13;!13;!11;13;13;!9;!21;15;!!16;12;!11;!7;!!"

"Easy Way to Technical Writing",684,4.4,"en","Gantman","H",                                0,0,"!31598;27534;27354;17923;28157;23963;20835;24320;22123;21889;25688;23312;24086;25970;22642;!21402;22734;19578;15526;13707;12260;5062;16254;11961;9429;16088;15082;15886;16273;13845;!13457;7368;12642;9937;11495;10600;13185;5815;9249;9906;7172;10983;11950;2587;7746;!8901;7521;10138;7447;6311;!5919;5641;6014;6633;4904;!4720;4200;3203;3699;3872;2316;2928;2605;2429;2402;2290;2201;!2075;2433;2487;2498;2321;2368;2249;2221;2221;2228;2231;2299;2098;2170;!1888;1977;1855;1422;1840;1838;1390;1313;1802;1766;1316;!1446;1298;1478;1460;1272;1140;1142;1133;1203;1037;1008;!979;895;1111;957;1232;826;1032;!958;918;1040;1017;870;989;!791;812;848;977;783;903;733;830;816;!708;870;609;735;877;806;893;850;894;707;!588;863;789;903;828;765;603;601;841;842;838;607;!681;810;570;!777;721;800;809;740;667;617;588;586;!596;770;515;713;747;755;751;751;757;530;540;745;!553;568;660;732;726;726;731;723;530;!558;618;678;459;673;538;!653;641;776;618;732;619;735;502;594;!758;637;735;737;645;586;704;692;617;503;!657;542;437;542;603;502;494;680;675;569;512;400;!"

"Data Structures",579,4.9,"en","Moshiri","P",                                              1,1,"!11884;11318;!6191;5162;4089;!5254;4713;3493;3104;3703;!2547;2427;1968;!2984;2668;2721;2685;2053;2306;2291;2253;!2696;2436;1270;1546;1318;!3193;!3842;3954;3913;2844;3286;!3875;2493;2147;2087;!2300;2231;1577;1451;1395;!1652;1863;1842;1836;!2789;!2156;2160;!2403;2336;2331;!2278;2100;!2611;2455;1727;!3208;1745;2709;2450;2431;2683;!2474;2575;2314;2131;2053;!2845;2919;1623;2502;2465;!1880;1736;1744;!1675;1621;1595;1583;!2472;2199;1963;!2270;2279;2026;1653;!591;569;520;521;!960;820;804;!695;690;753;!1757;1472;!1457;1345;1319;!1931;1502;1075;!1509;1293;1382;!1591;1221;1145;!1503;917;926;1251;1240;!1589;1542;1120;1265;!!1330;1320;!1237;1048;!1323;1112;!1386;1175;1216;1037;!1213;981;1261;!776;661;814;!994;1011;!644;!539;!!1660;1630;1614;1609;659;!1438;1419;1419;527;!1526;1440;1440;1429;530;!1049;1040;1033;1030;1027;1027;528;473;!1539;1711;463;488;!1435;1365;!!711;!368;367;!894;787;649;!1243;1423;!1596;773;!703;632;601;613;608;!!"


"Linejnaya algebra (bad)",2461,4.9,"ru","Omel'chenko","M",                                     0,0,"4680;3159;3327;2985;2480;2020;2023;!2023;1782;1759;1674;1521;1405;!4213;4100;4076;1029;3521;3426;!1395;1237;1244;1035;1287;!3475;3451;2908;2935;2543;2751;2358;2221;849;!2858;2254;2075;2008;2358;!933;937;910;869;878;!875;794;833;823;759;673;300;!832;799;606;567;!"


"Osnovy diskretnoj matematiki (2 gorba)",1127,4.8,"ru","Omel'chenko","M",                      0,0,"!11614;10964;10154;8635;8859;8317;!7920;7375;6852;5879;5890;5012;!5547;5303;5351;5274;5278;!5142;4660;2085;3193;2977;!!3553;3584;3424;3335;3337;3273;3164;1455;!2461;2060;3269;2868;2831;2842;!2684;2549;!2500;1917;1544;1970;2142;!!6901;6763;6412;4765;5473;5254;!4498;3921;3539;3785;3399;2740;3089;!3001;2540;2873;2813;!!4034;3766;3669;1630;3173;896;!3543;3285;1039;!2457;2137;2215;1902;2232;!!2412;2071;1996;2001;!2044;1846;2036;1943;1931;1889;!1715;1679;1798;1774;!1735;1733;1691;1657;1532;!!"

